Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
7aHSDH%GENOME018142_1887,-0.045969173,0.089162976,0.0069177984,0.0033651642,0.053454824,-0.05341869,-0.06250274,0.0305125,-0.00726978,0.0155211855,-0.059379205,-0.006376497,0.026616981
7aHSDH%GENOME025100_397,-0.057482276,-0.06484528,0.06131321,0.06732719,0.08428608,-0.08555352,-0.03454463,0.052497845,-0.094753854,0.063908495,-0.09040458,0.032956567,0.031310342
7aHSDH%GENOME067790_2714,-0.013933863,0.046836518,-0.033693522,-0.033378102,-0.019268235,-0.017634407,-0.0033391423,0.06824708,0.0918823,-0.015462505,-0.034514476,-0.02420713,0.046748124
7aHSDH%GENOME070302_884,-0.084982485,0.01518845,0.054153066,0.0367332,0.050791513,-0.08397093,-0.045883827,0.012068404,-0.030845031,0.03474133,-0.049608372,0.036270693,0.08690156
7aHSDH%GENOME086444_1757,0.0018824369,-0.028278472,0.00797149,-0.006531626,0.008695054,-0.0039874287,-0.03941849,0.070190765,0.055498034,-0.029777018,-0.020165855,0.033228934,-0.017546244
7aHSDH%GENOME103762_694,0.0615787,0.016782796,-0.068630956,-0.053874645,-0.03627012,0.044300474,0.01644749,0.010230852,0.06380935,-0.05240163,0.04760279,-0.015851047,-0.034888953
7aHSDH%GENOME122758_282,-0.04709917,-0.106285505,0.05839968,0.060679775,0.07154557,-0.05447515,-0.059002433,0.0025594104,-0.06387083,0.016626997,0.015722292,0.052690048,0.005472553
7aHSDH%GENOME215422_1346,-0.04896406,0.0021608132,0.01214875,0.0017335356,0.07856591,-0.023412103,-0.016770871,0.032065377,-0.037212357,0.0018080405,-0.022067197,-0.0077146385,0.03515749
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,-0.03339112,-0.0045589604,0.037140682,0.060307927,0.06496515,-0.05824399,-0.08781757,0.06470541,-0.044245612,0.048816156,-0.03047745,-0.026246302,0.03205261
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,0.016561996,0.026185011,-0.027325494,-0.008076505,0.0012721528,0.016072154,0.001479685,-0.04554765,0.016844727,-0.024916548,0.02274957,-0.00025204133,-0.021313129
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.01235129,-0.016618097,0.0061696093,0.019002799,0.0178289,-0.022948463,-0.016684042,-0.025747607,-0.013649301,0.030968927,-0.046687853,0.039414685,-0.0024294662
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,-0.066597,-0.011000607,0.05112302,0.062147275,0.07405332,-0.06521412,-0.059390817,0.0024041706,-0.10086373,0.044470202,0.00032192632,0.028792392,0.052236263
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,0.013486762,-0.0016269216,-0.062427983,-0.07649878,-0.021349743,0.032648765,-0.012446824,-0.0216121,0.008550313,-0.01860485,0.07001216,0.070706815,-0.035292335
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,0.016461276,-0.005491495,-0.012855373,-0.035399057,-0.013960971,0.019441303,-0.007433823,-0.029101042,0.014773126,0.004606423,0.03406111,0.03503099,-0.05098978
BSH1%UPI0001652BA3,-0.024194462,-0.028429627,0.02055208,0.019019261,0.025138242,-0.027867319,-0.016477285,0.010834464,-0.038472615,0.018643644,0.01024933,0.05072488,-0.023293966
BSH1%UPI0001DE6025,-0.024803385,0.043485135,0.035556015,0.026888944,0.040042344,-0.021163309,-0.042738374,0.02594956,-0.048099283,0.048083328,-0.022235027,-0.039912406,0.03841994
BSH1%UPI0002624191,-0.042682447,-0.09079404,0.033366535,0.0395353,0.09498603,-0.0454965,-0.032516357,0.021500433,-0.060337737,0.034746632,0.017871557,0.036926046,-0.05387659
BSH1%UPI0002CB0E7D,0.034300342,-0.0017719448,-0.040612016,-0.03866447,-0.06690472,0.0324697,0.09431818,-0.011954747,0.006447339,-0.07139625,-0.014213056,-0.002663738,0.03663041
BSH1%UPI0002F95F26,-0.0065515446,-0.01977868,0.0072342213,0.022022197,-0.02838599,-0.010825494,-0.042239543,0.091220886,-0.0004042337,-0.018385537,-0.0008997658,0.050650578,0.00038546554
BSH1%UPI000334E1FF,0.005802584,0.031664584,-0.06989975,-0.035196397,-0.02011806,0.005348942,0.03029085,0.03647584,-0.0011413347,0.07529531,0.009857851,-0.017563976,0.006240812
BSH1%UPI0003A10C39,0.019833546,0.02234871,-0.058227967,-0.050102353,-0.04562547,0.0226487,0.05434614,-0.06534846,0.024249787,0.04671378,0.038213078,-0.014969088,-0.03534055
BSH1%UPI00044AC395,-0.04875592,0.019586533,0.02478654,0.044891983,0.0417897,-0.049995862,0.0209963,0.02203392,-0.0039049918,0.012540108,-0.11772642,-0.0006867522,0.034782358
BSH1%UPI0004BCDDD9,0.009586047,-0.090729,0.018516662,0.040315274,0.019877844,-0.021835882,-0.0096114185,-0.033955343,0.053855587,-0.0120960465,-0.07591943,0.061762515,-0.021618953
BSH1%UPI0004D69CD5,-0.008645581,0.008874471,0.036291722,0.0326461,-0.006210421,0.004677831,-0.0135379275,-0.056182113,-0.014366236,0.038020395,0.036932107,-0.005326626,-0.022110533
BSH1%UPI0004F8D610,-0.025125183,-0.019986091,0.005645654,-0.04270916,-0.0200612,-0.0011379505,-0.0016764397,-0.04207211,0.021522209,0.010126797,0.033139393,0.036408998,0.0017116165
BSH1%UPI0005DBBD01,0.022803955,0.022666996,-0.038006302,-0.00066401495,-0.015535867,0.031485043,0.010019152,-0.020556878,0.041230902,0.038669858,0.016611025,-0.097189665,-0.0055405404
BSH1%UPI00070D1B8F,-0.000802542,-0.1021523,-0.039574515,-0.009339144,0.029536963,0.004436701,0.011446262,-0.01728015,-0.029545134,-0.003416901,0.025455914,0.09742303,-0.015379907
BSH1%UPI00073AFD00,-0.15556212,-0.034070704,0.104371436,0.11476749,0.12442991,-0.14625694,-0.114140436,0.06225928,-0.16767684,0.10800685,-0.03312443,-0.0046350416,0.072244786
