Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.84747756,-0.7763567,0.4490733,-0.8162887,-1.0,-1.0,0.92053455,1.0,0.7298839,0.025670055,0.9462955,-1.0,1.0,1.0,0.29333186,0.05988694,1.0,-1.0,-0.6209382
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-0.009407304,-1.0,-0.79365605,-1.0,-0.15901443,1.0,1.0,0.84184384,-0.80440694,0.41249636,0.30612633,0.84053105,1.0,1.0,0.9536648,-1.0,-1.0,-1.0
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.94675,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.43701947,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.6742911,-0.14279632
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.24923842,-1.0,1.0,1.0,1.0,-1.0,0.7906564,1.0,-1.0,-1.0,0.8667079,-1.0,1.0,0.9356899,-1.0,-0.88185996,1.0,1.0,1.0
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,-1.0,-1.0,0.0109946225,0.29831564,0.8013339,-0.25935492,1.0,0.5002601,0.69613266,-0.13023062,0.8615357,-0.89018685,0.7235197,0.90149254,-0.7375954,-1.0,0.8192747,-0.39996746,0.020834519
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,-1.0,-0.8521857,1.0,0.6626758,0.480563,-1.0,-0.6596331,-0.5415359,-1.0,0.1078733,0.06566777,-0.7522785,0.056569926,0.36654297,-0.2162561,0.24233414,1.0,0.40889698,1.0
3aHSDH%WP_377204125_1_MULTISPECIES__SDR_family_oxidoreductase__unclassified_Pseudarthrobacter_,-1.0,-1.0,-0.04072938,-0.22388501,-0.06203069,-1.0,1.0,1.0,-0.57270503,-0.2920724,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-0.5219003,-0.4348497
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,1.0,-0.76147884,0.45612553,-0.37616563,-0.51215327,-0.09644762,0.41825962,-0.05839475,0.5657897,-0.5967104,0.007597139,-0.25457618,1.0,0.6634574,0.4494915,-1.0,-0.16936874,0.2706429,0.5733831
3bHSDH%GENOME124823_1686,1.0,0.2276289,0.69647604,0.9590584,1.0,0.038352355,-0.50974154,1.0,-1.0,-0.60113215,-0.4050885,0.16297452,-1.0,-0.3849449,-1.0,-1.0,-1.0,1.0,1.0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.2788765,-1.0,1.0,1.0,0.8492231,-1.0,0.23022279,1.0,-0.77432585,-0.9136844,0.29602492,-1.0,1.0,1.0,-0.7039803,-0.760332,1.0,-0.16366614,0.95147514
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,1.0,-1.0,1.0,1.0,1.0,-1.0,0.9498355,1.0,-1.0,-1.0,0.71968895,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0
